year,PHU,metric,popw_mean
2013,York Region Public Health,PM25_3h,12.95065689086914
2013,Huron Perth Health Unit,PM25_3h,13.021086692810059
2013,"Region of Waterloo, Public Health",PM25_3h,13.124770164489746
2013,Southwestern Public Health,PM25_3h,13.166333198547363
2013,Hamilton Public Health Services,PM25_3h,13.198661804199219
2013,Thunder Bay District Health Unit,PM25_3h,12.017617225646973
2013,Peel Public Health,PM25_3h,13.077668190002441
2013,Lambton Public Health,PM25_3h,13.123034477233887
2013,Wellington-Dufferin-Guelph Health Unit,PM25_3h,13.051743507385254
2013,Brant County Health Unit,PM25_3h,13.193808555603027
2013,Middlesex-London Health Unit,PM25_3h,13.136246681213379
2013,Sudbury and District Health Unit,PM25_3h,12.142327308654785
2013,"Haliburton, Kawartha, Pine Ridge District Health Unit",PM25_3h,12.648261070251465
2013,Niagara Region Public Health Department,PM25_3h,13.132158279418945
2013,Chatham-Kent Health Unit,PM25_3h,13.14095401763916
2013,"Kingston, Frontenac and Lennox and Addington Health Unit",PM25_3h,12.428001403808594
2013,Windsor-Essex County Health Unit,PM25_3h,13.131237983703613
2013,Peterborough Public Health,PM25_3h,12.630663871765137
2013,Grey Bruce Health Unit,PM25_3h,12.750442504882813
2013,Eastern Ontario Health Unit,PM25_3h,12.200592994689941
2013,North Bay Parry Sound District Health Unit,PM25_3h,12.163965225219727
2013,Ottawa Public Health,PM25_3h,12.185114860534668
2013,"Leeds, Grenville and Lanark District Health Unit",PM25_3h,12.286466598510742
2013,Northwestern Health Unit,PM25_3h,12.028792381286621
2013,Haldimand-Norfolk Health Unit,PM25_3h,13.207942962646484
2013,Timiskaming Health Unit,PM25_3h,11.957120895385742
2013,Renfrew County and District Health Unit,PM25_3h,12.153061866760254
2013,Toronto Public Health,PM25_3h,13.02244758605957
2013,Halton Region Health Department,PM25_3h,13.142989158630371
2013,Hastings and Prince Edward Counties Health Unit,PM25_3h,12.53857135772705
2013,Simcoe Muskoka District Health Unit,PM25_3h,12.713232040405273
2013,Durham Region Health Department,PM25_3h,12.874486923217773
2013,Porcupine Health Unit,PM25_3h,11.908472061157227
2013,Algoma Public Health Unit,PM25_3h,12.188525199890137
2013,York Region Public Health,PM25_8h,10.725184440612793
2013,Huron Perth Health Unit,PM25_8h,10.800115585327148
2013,"Region of Waterloo, Public Health",PM25_8h,10.881063461303711
2013,Southwestern Public Health,PM25_8h,10.929492950439453
2013,Hamilton Public Health Services,PM25_8h,10.94239330291748
2013,Thunder Bay District Health Unit,PM25_8h,9.953603744506836
2013,Peel Public Health,PM25_8h,10.833919525146484
2013,Lambton Public Health,PM25_8h,10.914998054504395
2013,Wellington-Dufferin-Guelph Health Unit,PM25_8h,10.814285278320313
2013,Brant County Health Unit,PM25_8h,10.942051887512207
2013,Middlesex-London Health Unit,PM25_8h,10.907097816467285
2013,Sudbury and District Health Unit,PM25_8h,10.033011436462402
2013,"Haliburton, Kawartha, Pine Ridge District Health Unit",PM25_8h,10.473869323730469
2013,Niagara Region Public Health Department,PM25_8h,10.889363288879395
2013,Chatham-Kent Health Unit,PM25_8h,10.928637504577637
2013,"Kingston, Frontenac and Lennox and Addington Health Unit",PM25_8h,10.31134033203125
2013,Windsor-Essex County Health Unit,PM25_8h,10.926907539367676
2013,Peterborough Public Health,PM25_8h,10.459452629089355
2013,Grey Bruce Health Unit,PM25_8h,10.558440208435059
2013,Eastern Ontario Health Unit,PM25_8h,10.114959716796875
2013,North Bay Parry Sound District Health Unit,PM25_8h,10.051518440246582
2013,Ottawa Public Health,PM25_8h,10.100013732910156
2013,"Leeds, Grenville and Lanark District Health Unit",PM25_8h,10.188612937927246
2013,Northwestern Health Unit,PM25_8h,9.966197967529297
2013,Haldimand-Norfolk Health Unit,PM25_8h,10.958416938781738
2013,Timiskaming Health Unit,PM25_8h,9.880878448486328
2013,Renfrew County and District Health Unit,PM25_8h,10.063671112060547
2013,Toronto Public Health,PM25_8h,10.788566589355469
2013,Halton Region Health Department,PM25_8h,10.892173767089844
2013,Hastings and Prince Edward Counties Health Unit,PM25_8h,10.392289161682129
2013,Simcoe Muskoka District Health Unit,PM25_8h,10.517998695373535
2013,Durham Region Health Department,PM25_8h,10.663920402526855
2013,Porcupine Health Unit,PM25_8h,9.842512130737305
2013,Algoma Public Health Unit,PM25_8h,10.08265209197998
2013,York Region Public Health,NO2_3h,15.271645545959473
2013,Huron Perth Health Unit,NO2_3h,14.833585739135742
2013,"Region of Waterloo, Public Health",NO2_3h,15.080686569213867
2013,Southwestern Public Health,NO2_3h,14.97783088684082
2013,Hamilton Public Health Services,NO2_3h,15.327411651611328
2013,Thunder Bay District Health Unit,NO2_3h,14.240094184875488
